100 100
3 22 V
3 23 V
3 23 H
3 24 V
3 24 H
3 25 V
3 26 V
3 27 V
3 28 V
3 29 H
3 30 V
3 32 H
3 33 V
3 34 V
3 34 H
3 35 H
3 37 V
3 37 H
3 39 V
3 40 V
3 40 H
3 42 H
3 44 V
3 45 V
3 46 H
3 47 V
3 48 V
3 49 V
3 49 H
3 50 V
3 51 H
3 52 V
3 53 H
3 54 V
3 55 V
3 56 V
3 57 H
3 59 V
3 59 H
3 60 H
3 61 V
3 62 H
3 64 H
3 65 V
3 67 V
3 68 V
3 68 H
3 70 V
3 70 H
3 71 H
3 72 H
3 73 V
3 74 H
3 75 H
3 77 H
3 78 H
3 79 V
3 80 V
3 81 V
3 81 H
3 82 V
3 83 V
3 84 V
3 85 V
3 86 H
3 88 V
3 89 V
3 89 H
3 90 V
3 91 H
3 92 H
3 93 V
3 94 H
3 96 V
3 96 H
3 97 H
3 99 V
4 0 H
4 1 H
4 2 H
4 4 H
4 6 V
4 6 H
4 7 H
4 8 V
4 9 H
4 11 V
4 12 H
4 13 H
4 14 H
4 16 V
4 16 H
4 18 V
4 20 V
4 20 H
4 21 H
4 23 V
4 24 V
4 25 V
4 26 V
4 27 V
4 28 H
4 29 H
4 31 V
4 31 H
4 32 V
4 33 H
4 34 V
4 35 H
4 36 H
4 37 V
4 38 H
4 40 V
4 41 H
4 42 V
4 42 H
4 43 V
4 44 H
4 45 H
4 46 V
4 48 H
4 50 H
4 51 V
4 52 H
4 53 V
4 55 V
4 56 H
4 57 H
4 58 H
4 59 H
4 61 V
4 62 V
4 62 H
4 63 H
4 64 V
4 65 H
4 66 V
4 66 H
4 68 V
4 69 V
4 69 H
4 71 V
4 71 H
4 72 H
4 73 V
4 74 V
4 74 H
4 75 V
4 76 V
4 76 H
4 77 V
4 78 V
4 79 V
4 80 H
4 82 V
4 83 H
4 85 H
4 86 H
4 87 V
4 88 V
4 89 H
4 91 H
4 92 H
4 94 V
4 94 H
4 95 V
4 95 H
4 97 V
4 97 H
4 98 V
5 0 H
5 1 H
5 2 V
5 3 V
5 3 H
5 4 H
5 5 V
5 5 H
5 7 V
5 7 H
5 9 V
5 9 H
5 10 H
5 11 H
5 12 H
5 13 V
5 13 H
5 14 H
5 15 H
5 17 H
5 18 V
5 19 V
5 19 H
5 21 V
5 21 H
5 22 H
5 24 V
5 25 V
5 26 V
5 26 H
5 28 V
5 28 H
5 29 V
5 29 H
5 31 H
5 32 H
5 33 V
5 34 H
5 35 H
5 36 H
5 38 V
5 38 H
5 39 V
5 40 V
5 40 H
5 41 V
5 42 V
5 43 H
5 44 H
5 45 H
5 47 H
5 48 V
5 49 V
5 49 H
5 50 H
5 51 H
5 52 V
5 53 H
5 54 V
5 55 H
5 56 H
5 57 V
5 58 H
5 60 V
5 60 H
5 62 H
5 63 H
5 64 H
5 65 V
5 67 V
5 67 H
5 69 H
5 70 H
5 72 H
5 74 V
5 75 V
5 76 V
5 77 H
5 79 V
5 80 V
5 80 H
5 81 H
5 83 V
5 83 H
5 84 H
5 85 H
5 86 V
5 86 H
5 88 V
5 89 V
5 89 H
5 90 H
5 91 H
5 92 H
5 93 H
5 95 V
5 96 V
5 97 V
5 98 V
5 98 H
6 0 H
6 1 V
6 3 V
6 3 H
6 4 H
6 6 V
6 6 H
6 7 H
6 8 V
6 9 V
6 10 V
6 10 H
6 11 H
6 12 V
6 13 H
6 14 H
6 15 V
6 16 V
6 16 H
6 17 H
6 19 V
6 20 V
6 20 H
6 22 V
6 22 H
6 24 H
6 26 V
6 27 V
6 27 H
6 29 H
6 30 V
6 30 H
6 31 H
6 33 V
6 33 H
6 34 H
6 35 H
6 36 H
6 37 H
6 39 V
6 40 H
6 42 H
6 43 H
6 44 H
6 45 H
6 46 H
6 47 V
6 47 H
6 49 H
6 50 V
6 51 H
6 52 H
6 53 H
6 54 V
6 55 V
6 55 H
6 57 H
6 58 H
6 59 V
6 60 V
6 61 V
6 61 H
6 62 H
6 63 H
6 64 H
6 66 V
6 66 H
6 68 V
6 68 H
6 69 H
6 70 H
6 71 V
6 71 H
6 72 H
6 73 H
6 74 H
6 76 H
6 77 H
6 78 V
6 79 H
6 81 V
6 81 H
6 82 V
6 83 V
6 84 V
6 84 H
6 85 V
6 86 V
6 87 V
6 87 H
6 88 V
6 89 V
6 90 H
6 91 H
6 92 H
6 93 V
6 94 V
6 94 H
6 96 V
6 97 V
6 98 H
7 0 V
7 1 H
7 2 V
7 3 H
7 4 H
7 5 H
7 7 V
7 8 V
7 9 V
7 10 V
7 11 H
7 13 V
7 13 H
7 14 V
7 16 H
7 17 H
7 18 H
7 20 V
7 21 H
7 22 H
7 23 H
7 24 H
7 25 V
7 26 H
7 27 V
7 28 H
7 29 V
7 30 V
7 31 V
7 31 H
7 32 V
7 33 H
7 34 H
7 35 H
7 36 H
7 38 V
7 38 H
7 39 H
7 40 V
7 41 V
7 41 H
7 42 H
7 44 V
7 44 H
7 45 H
7 46 V
7 47 V
7 48 V
7 48 H
7 49 H
7 50 V
7 51 V
7 52 V
7 52 H
7 53 V
7 54 V
7 55 H
7 56 V
7 56 H
7 57 H
7 58 V
7 59 H
7 60 V
7 61 H
7 62 H
7 63 H
7 64 H
7 65 V
7 66 H
7 67 H
7 68 V
7 69 V
7 70 V
7 70 H
7 72 V
7 72 H
7 73 H
7 74 H
7 75 H
7 76 V
7 77 V
7 78 V
7 78 H
7 79 V
7 80 V
7 80 H
7 82 V
7 83 H
7 86 V
7 87 V
7 88 H
7 90 V
7 90 H
7 91 V
7 91 H
7 92 V
7 93 H
7 95 V
7 95 H
7 96 V
7 97 H
7 98 H
8 0 H
8 1 V
8 2 H
8 3 H
8 4 V
8 5 V
8 5 H
8 6 H
8 8 V
8 9 H
8 11 V
8 11 H
8 12 V
8 13 V
8 14 H
8 15 V
8 15 H
8 16 V
8 17 V
8 17 H
8 18 H
8 19 V
8 20 V
8 20 H
8 21 H
8 23 V
8 23 H
8 25 V
8 25 H
8 26 V
8 27 H
8 28 H
8 29 V
8 32 V
8 33 H
8 34 V
8 35 H
8 36 H
8 37 H
8 38 V
8 39 H
8 41 V
8 42 V
8 42 H
8 43 V
8 44 V
8 45 H
8 48 H
8 49 H
8 51 V
8 53 V
8 54 H
8 55 V
8 56 V
8 57 V
8 57 H
8 58 H
8 59 V
8 60 H
8 61 V
8 62 V
8 63 V
8 63 H
8 64 V
8 66 V
8 66 H
8 67 V
8 68 V
8 69 H
8 70 H
8 72 H
8 73 H
8 74 H
8 75 V
8 76 H
8 78 H
8 80 H
8 82 H
8 83 V
8 83 H
8 84 H
8 85 H
8 86 V
8 87 V
8 88 V
8 89 V
8 89 H
8 91 V
8 92 H
8 93 V
8 94 V
8 94 H
8 95 V
8 97 H
8 98 H
9 0 H
9 2 V
9 2 H
9 3 V
9 4 V
9 5 V
9 6 V
9 6 H
9 8 V
9 8 H
9 9 H
9 10 V
9 11 V
9 13 H
9 14 V
9 15 V
9 16 V
9 17 V
9 18 V
9 18 H
9 20 V
9 21 V
9 21 H
9 22 V
9 23 H
9 24 V
9 25 V
9 26 V
9 27 V
9 27 H
9 29 H
9 30 V
9 30 H
9 31 H
9 33 V
9 33 H
9 34 H
9 35 H
9 36 H
9 37 V
9 38 V
9 39 V
9 39 H
9 40 V
9 41 V
9 42 H
9 43 H
9 45 V
9 45 H
9 46 V
9 46 H
9 47 H
9 48 H
9 49 H
9 50 V
9 51 H
9 52 V
9 53 H
9 54 H
9 56 H
9 57 H
9 59 H
9 60 V
9 61 V
9 62 H
9 64 H
9 65 V
9 65 H
9 67 V
9 68 V
9 69 V
9 69 H
9 71 V
9 71 H
9 72 V
9 73 V
9 73 H
9 75 V
9 75 H
9 76 V
9 77 V
9 77 H
9 78 V
9 79 V
9 79 H
9 80 V
9 81 V
9 81 H
9 82 V
9 83 V
9 84 V
9 84 H
9 85 V
9 86 V
9 87 H
9 89 H
9 90 V
9 91 H
9 92 V
9 93 V
9 94 V
9 96 V
9 96 H
9 97 V
9 97 H
9 98 H
10 0 H
10 1 H
10 3 H
10 4 V
10 5 V
10 6 V
10 7 V
10 7 H
10 9 V
10 10 V
10 11 H
10 12 H
10 13 H
10 14 V
10 16 V
10 16 H
10 19 V
10 19 H
10 21 H
10 23 V
10 23 H
10 25 V
10 26 V
10 27 V
10 28 V
10 28 H
10 29 V
10 30 H
10 31 H
10 32 V
10 33 V
10 34 V
10 34 H
10 35 H
10 36 V
10 37 V
10 38 V
10 39 V
10 40 V
10 41 V
10 42 V
10 42 H
10 43 V
10 44 V
10 45 V
10 46 V
10 47 H
10 48 V
10 48 H
10 49 V
10 50 H
10 51 V
10 52 H
10 53 H
10 55 V
10 55 H
10 56 V
10 57 H
10 58 H
10 59 V
10 60 V
10 61 H
10 62 H
10 63 H
10 64 V
10 65 H
10 66 V
10 67 H
10 69 V
10 70 V
10 70 H
10 73 V
10 74 V
10 74 H
10 76 H
10 78 H
10 80 V
10 81 V
10 82 V
10 83 H
10 85 V
10 86 H
10 87 H
10 88 H
10 89 V
10 90 V
10 91 V
10 91 H
10 92 V
10 93 V
10 94 H
10 95 V
10 96 V
10 97 V
10 98 V
10 98 H
11 0 H
11 1 H
11 2 H
11 3 V
11 4 V
11 5 V
11 6 V
11 7 H
11 9 H
11 11 V
11 11 H
11 12 H
11 13 H
11 15 V
11 15 H
11 17 V
11 17 H
11 18 V
11 19 V
11 20 V
11 20 H
11 21 H
11 22 V
11 23 H
11 24 V
11 25 H
11 26 V
11 28 H
11 30 V
11 30 H
11 32 V
11 33 V
11 34 V
11 35 V
11 35 H
11 36 V
11 37 V
11 38 V
11 39 V
11 41 V
11 42 V
11 43 H
11 44 V
11 45 V
11 46 V
11 47 V
11 47 H
11 49 V
11 50 H
11 52 V
11 52 H
11 53 H
11 54 V
11 54 H
11 56 H
11 57 V
11 57 H
11 58 H
11 60 H
11 61 V
11 62 V
11 62 H
11 63 H
11 64 V
11 65 V
11 66 V
11 67 V
11 67 H
11 68 V
11 69 V
11 71 V
11 71 H
11 72 V
11 72 H
11 74 V
11 75 V
11 75 H
11 76 V
11 77 V
11 77 H
11 78 H
11 79 V
11 80 H
11 82 V
11 83 V
11 83 H
11 84 H
11 85 V
11 86 V
11 87 V
11 87 H
11 88 V
11 89 V
11 90 H
11 92 V
11 93 H
11 95 V
11 96 V
11 97 V
11 98 H
12 1 V
12 1 H
12 3 V
12 4 H
12 5 V
12 6 V
12 7 H
12 8 V
12 8 H
12 9 H
12 10 H
12 11 H
12 12 H
12 13 V
12 14 H
12 16 V
12 16 H
12 17 V
12 19 V
12 20 V
12 20 H
12 21 H
12 22 H
12 23 H
12 24 V
12 25 V
12 26 V
12 27 V
12 27 H
12 28 V
12 28 H
12 29 H
12 30 H
12 31 H
12 32 V
12 34 V
12 35 V
12 36 V
12 37 H
12 39 H
12 40 V
12 41 H
12 43 V
12 43 H
12 45 V
12 46 V
12 47 H
12 48 V
12 49 H
12 50 V
12 50 H
12 51 V
12 52 H
12 53 V
12 54 H
12 55 H
12 56 V
12 57 H
12 58 H
12 59 H
12 60 H
12 63 V
12 63 H
12 65 V
12 66 H
12 68 H
12 70 V
12 70 H
12 72 V
12 73 V
12 73 H
12 75 V
12 76 V
12 77 H
12 78 V
12 79 H
12 80 H
12 81 V
12 82 H
12 83 V
12 84 H
12 86 V
12 87 V
12 89 V
12 89 H
12 90 H
12 91 H
12 92 V
12 93 V
12 94 V
12 94 H
12 96 V
12 97 H
12 98 V
13 0 V
13 1 H
13 2 V
13 2 H
13 4 H
13 6 H
13 7 V
13 8 V
13 9 V
13 9 H
13 10 V
13 11 H
13 12 H
13 13 V
13 14 V
13 14 H
13 15 V
13 16 V
13 17 H
13 18 H
13 20 V
13 21 V
13 21 H
13 23 V
13 23 H
13 25 V
13 26 V
13 27 H
13 29 V
13 29 H
13 30 V
13 31 V
13 32 H
13 33 V
13 34 H
13 36 V
13 36 H
13 37 H
13 38 H
13 39 V
13 40 H
13 41 H
13 42 V
13 43 V
13 44 H
13 45 V
13 46 V
13 47 V
13 48 H
13 49 V
13 50 V
13 51 H
13 52 H
13 53 H
13 54 V
13 55 V
13 56 V
13 56 H
13 57 H
13 58 H
13 59 H
13 60 V
13 61 V
13 61 H
13 62 V
13 62 H
13 64 V
13 64 H
13 65 H
13 66 V
13 67 V
13 67 H
13 68 H
13 69 V
13 70 H
13 71 V
13 72 H
13 74 V
13 74 H
13 76 V
13 77 V
13 78 H
13 79 V
13 80 V
13 80 H
13 81 H
13 82 V
13 83 H
13 84 H
13 85 V
13 86 H
13 87 H
13 88 V
13 89 H
13 90 H
13 92 H
13 94 V
13 95 V
13 95 H
13 97 V
13 97 H
13 98 V
13 99 V
14 0 H
14 1 V
14 2 H
14 3 H
14 4 V
14 4 H
14 5 H
14 6 V
14 7 H
14 9 V
14 10 H
14 11 V
14 11 H
14 12 H
14 14 V
14 16 V
14 16 H
14 17 H
14 18 H
14 19 V
14 20 H
14 21 V
14 22 V
14 23 V
14 24 V
14 24 H
14 26 V
14 26 H
14 27 H
14 28 V
14 29 V
14 30 H
14 31 H
14 32 V
14 33 H
14 34 H
14 35 V
14 36 V
14 37 V
14 38 V
14 38 H
14 39 H
14 41 V
14 41 H
14 43 H
14 44 V
14 44 H
14 46 V
14 47 H
14 48 V
14 49 V
14 50 H
14 51 H
14 52 V
14 53 V
14 54 H
14 55 H
14 57 V
14 57 H
14 58 H
14 59 V
14 60 V
14 61 H
14 63 V
14 63 H
14 64 V
14 65 V
14 66 V
14 67 H
14 68 H
14 69 V
14 70 H
14 72 V
14 72 H
14 73 V
14 74 V
14 74 H
14 75 H
14 76 V
14 77 H
14 78 V
14 80 V
14 81 V
14 81 H
14 83 V
14 83 H
14 84 V
14 85 H
14 86 H
14 88 H
14 89 H
14 90 H
14 91 V
14 91 H
14 92 H
14 93 H
14 95 H
14 96 V
14 97 V
14 98 V
15 0 H
15 2 V
15 2 H
15 3 V
15 4 V
15 5 V
15 6 V
15 6 H
15 7 H
15 8 V
15 9 H
15 10 V
15 11 V
15 12 V
15 12 H
15 13 H
15 14 H
15 15 V
15 16 V
15 17 V
15 17 H
15 18 V
15 19 H
15 20 H
15 22 H
15 24 V
15 25 V
15 26 V
15 27 V
15 27 H
15 29 V
15 30 V
15 30 H
15 32 V
15 32 H
15 33 H
15 34 H
15 36 V
15 37 H
15 39 V
15 40 V
15 40 H
15 42 V
15 42 H
15 43 V
15 44 V
15 45 V
15 46 V
15 46 H
15 47 H
15 49 V
15 50 V
15 50 H
15 52 V
15 53 H
15 54 H
15 55 H
15 56 V
15 57 H
15 58 H
15 60 V
15 61 H
15 62 H
15 63 V
15 65 V
15 66 V
15 67 H
15 68 V
15 69 H
15 70 V
15 70 H
15 71 H
15 73 V
15 74 H
15 75 H
15 77 V
15 78 V
15 78 H
15 79 H
15 81 V
15 82 V
15 82 H
15 84 V
15 85 V
15 85 H
15 86 H
15 87 H
15 88 H
15 89 H
15 90 V
15 91 H
15 92 V
15 93 V
15 93 H
15 94 H
15 95 V
15 96 V
15 97 V
15 98 V
16 0 H
16 1 V
16 2 V
16 3 H
16 5 H
16 7 V
16 8 V
16 8 H
16 9 V
16 10 H
16 12 H
16 13 H
16 15 H
16 18 V
16 19 H
16 20 H
16 21 H
16 22 H
16 23 V
16 24 H
16 25 H
16 27 V
16 28 H
16 31 V
16 31 H
16 33 V
16 33 H
16 35 V
16 36 V
16 36 H
16 37 H
16 38 H
16 40 H
16 41 V
16 42 V
16 43 V
16 45 V
16 45 H
16 47 H
16 48 V
16 49 V
16 50 V
16 51 V
16 51 H
16 52 V
16 53 H
16 54 V
16 55 V
16 56 H
16 57 H
16 58 H
16 60 H
16 61 V
16 61 H
16 62 V
16 63 H
16 64 H
16 65 H
16 67 V
16 67 H
16 69 V
16 69 H
16 71 V
16 71 H
16 72 V
16 73 H
16 74 H
16 75 H
16 76 H
16 78 V
16 79 V
16 79 H
16 80 H
16 81 H
16 83 V
16 84 V
16 85 V
16 86 V
16 87 V
16 87 H
16 88 V
16 88 H
16 89 V
16 90 H
16 91 V
16 92 V
16 93 V
16 94 V
16 94 H
16 95 H
16 97 V
16 98 H
17 1 V
17 2 V
17 2 H
17 3 V
17 4 V
17 4 H
17 5 H
17 6 H
17 9 H
17 10 H
17 11 H
17 12 H
17 13 V
17 14 V
17 14 H
17 15 H
17 16 V
17 16 H
17 18 H
17 19 V
17 19 H
17 20 V
17 21 V
17 21 H
17 22 V
17 23 H
17 24 H
17 25 H
17 26 V
17 27 H
17 28 H
17 29 V
17 29 H
17 31 V
17 32 V
17 32 H
17 33 V
17 34 V
17 35 H
17 37 V
17 37 H
17 38 V
17 39 V
17 39 H
17 41 V
17 41 H
17 43 H
17 44 H
17 46 V
17 46 H
17 47 V
17 47 H
17 49 V
17 50 H
17 52 H
17 53 V
17 54 V
17 55 V
17 55 H
17 56 H
17 57 V
17 58 V
17 58 H
17 59 V
17 59 H
17 60 V
17 61 V
17 62 H
17 63 V
17 64 V
17 64 H
17 65 H
17 66 V
17 67 H
17 68 V
17 69 H
17 70 H
17 72 V
17 73 V
17 73 H
17 74 V
17 75 V
17 75 H
17 77 V
17 77 H
17 79 V
17 79 H
17 80 H
17 81 V
17 82 V
17 83 H
17 85 H
17 87 V
17 88 V
17 89 V
17 90 H
17 93 V
17 94 V
17 95 H
17 96 V
17 97 H
17 98 H
18 0 H
18 2 V
18 3 V
18 4 V
18 5 V
18 5 H
18 6 V
18 7 V
18 7 H
18 8 H
18 9 V
18 9 H
18 10 V
18 11 V
18 11 H
18 13 H
18 14 H
18 15 V
18 16 H
18 17 V
18 17 H
18 18 V
18 19 V
18 20 V
18 22 V
18 22 H
18 23 H
18 24 H
18 25 V
18 26 V
18 27 H
18 28 V
18 29 H
18 30 V
18 31 V
18 32 V
18 33 H
18 34 V
18 35 V
18 35 H
18 36 V
18 37 V
18 38 H
18 39 H
18 40 H
18 42 V
18 42 H
18 43 H
18 44 H
18 45 H
18 47 V
18 48 V
18 48 H
18 49 H
18 50 V
18 51 V
18 51 H
18 52 V
18 53 V
18 54 V
18 55 H
18 56 H
18 59 V
18 60 V
18 61 V
18 62 V
18 63 V
18 64 V
18 65 V
18 66 H
18 67 V
18 68 H
18 69 V
18 70 V
18 70 H
18 71 H
18 73 V
18 74 V
18 75 H
18 76 H
18 78 H
18 80 V
18 80 H
18 82 H
18 83 V
18 84 V
18 84 H
18 85 H
18 86 V
18 87 H
18 88 V
18 89 H
18 90 H
18 91 H
18 92 V
18 92 H
18 94 H
18 95 H
18 97 V
18 97 H
18 98 V
18 99 V
19 1 V
19 1 H
19 3 V
19 4 H
19 7 H
19 8 V
19 10 V
19 10 H
19 12 V
19 12 H
19 13 H
19 14 H
19 16 V
19 16 H
19 18 V
19 19 V
19 20 H
19 21 H
19 23 V
19 23 H
19 24 V
19 25 V
19 26 H
19 27 H
19 29 V
19 29 H
19 31 V
19 32 H
19 33 V
19 34 H
19 36 H
19 38 V
19 38 H
19 40 V
19 40 H
19 41 V
19 42 H
19 43 V
19 44 V
19 44 H
19 45 H
19 46 V
19 47 V
19 48 V
19 49 H
19 50 V
19 51 V
19 52 V
19 53 V
19 54 H
19 55 V
19 56 V
19 56 H
19 57 H
19 58 V
19 59 H
19 61 V
19 62 V
19 63 H
19 64 V
19 65 V
19 66 V
19 67 V
19 67 H
19 68 V
19 69 V
19 70 V
19 71 V
19 71 H
19 72 H
19 73 H
19 75 H
19 76 V
19 77 V
19 77 H
19 78 H
19 79 V
19 80 V
19 81 H
19 82 V
19 83 H
19 84 H
19 85 V
19 86 H
19 87 V
19 88 H
19 89 V
19 90 V
19 91 H
19 93 V
19 93 H
19 94 H
19 95 H
19 96 V
19 97 V
19 98 V
20 0 H
20 1 V
20 2 V
20 3 H
20 4 H
20 5 V
20 5 H
20 6 H
20 7 H
20 9 H
20 11 V
20 11 H
20 12 H
20 13 H
20 14 H
20 15 H
20 16 V
20 17 H
20 19 H
20 20 V
20 21 V
20 21 H
20 22 V
20 23 H
20 25 H
20 26 H
20 27 H
20 28 H
20 30 V
20 30 H
20 31 H
20 32 V
20 33 V
20 34 V
20 34 H
20 35 H
20 36 H
20 37 V
20 38 H
20 39 H
20 40 V
20 41 H
20 42 V
20 43 V
20 44 H
20 45 V
20 46 V
20 48 V
20 48 H
20 49 H
20 51 V
20 52 V
20 53 H
20 54 V
20 56 V
20 56 H
20 58 V
20 58 H
20 59 H
20 60 V
20 61 V
20 62 H
20 63 H
20 65 V
20 66 V
20 67 V
20 69 V
20 70 V
20 71 V
20 71 H
20 72 V
20 73 H
20 74 H
20 75 V
20 75 H
20 77 V
20 78 V
20 78 H
20 80 H
20 81 V
20 81 H
20 83 V
20 83 H
20 85 V
20 86 V
20 86 H
20 87 H
20 88 V
20 89 V
20 90 H
20 91 V
20 91 H
20 92 H
20 93 H
20 94 H
20 95 H
20 97 V
20 98 V
20 98 H
21 0 V
21 1 V
21 2 V
21 3 V
21 3 H
21 4 V
21 5 V
21 6 V
21 6 H
21 7 H
21 8 H
21 9 V
21 9 H
21 10 H
21 11 V
21 12 V
21 13 V
21 14 V
21 14 H
21 15 H
21 17 V
21 17 H
21 18 H
21 19 H
21 21 H
21 23 V
21 23 H
21 24 V
21 24 H
21 26 V
21 26 H
21 27 V
21 27 H
21 28 H
21 29 V
21 30 V
21 31 V
21 32 V
21 33 H
21 35 V
21 35 H
21 36 V
21 37 V
21 38 V
21 38 H
21 39 V
21 40 H
21 42 H
21 43 H
21 44 V
21 45 V
21 46 H
21 47 V
21 48 H
21 49 H
21 50 V
21 51 H
21 53 V
21 53 H
21 55 H
21 57 V
21 57 H
21 59 V
21 60 H
21 62 V
21 62 H
21 63 V
21 64 V
21 64 H
21 66 V
21 67 H
21 68 V
21 69 V
21 70 V
21 71 V
21 72 V
21 73 V
21 73 H
21 74 V
21 75 H
21 76 V
21 77 V
21 78 H
21 79 H
21 80 V
21 81 V
21 82 V
21 82 H
21 83 H
21 84 V
21 85 H
21 87 V
21 88 V
21 88 H
21 90 H
21 92 V
21 93 V
21 93 H
21 94 H
21 95 V
21 96 V
21 96 H
21 98 H
22 1 H
22 3 V
22 4 V
22 5 H
22 7 V
22 7 H
22 8 V
22 9 H
22 10 V
22 11 V
22 12 V
22 13 H
22 15 V
22 15 H
22 16 H
22 18 V
22 18 H
22 19 V
22 20 V
22 20 H
22 21 H
22 22 V
22 23 V
22 24 H
22 25 H
22 27 H
22 28 V
22 29 H
22 31 H
22 33 V
22 33 H
22 34 V
22 35 H
22 36 H
22 39 V
22 39 H
22 40 V
22 41 V
22 41 H
22 43 V
22 43 H
22 45 H
22 46 H
22 48 V
22 48 H
22 49 V
22 50 H
22 51 H
22 52 V
22 53 H
22 54 H
22 55 V
22 55 H
22 56 H
22 57 H
22 58 V
22 59 H
22 60 V
22 60 H
22 61 V
22 62 V
22 63 H
22 64 V
22 65 H
22 66 H
22 68 V
22 69 H
22 70 V
22 72 V
22 74 V
22 74 H
22 75 V
22 77 V
22 77 H
22 78 H
22 79 V
22 80 H
22 81 H
22 83 H
22 85 V
22 86 V
22 86 H
22 88 H
22 89 H
22 90 H
22 91 H
22 93 V
22 94 V
22 94 H
22 96 H
22 97 H
22 98 V
22 99 V
23 0 H
23 1 V
23 2 V
23 2 H
23 4 H
23 5 H
23 6 V
23 7 V
23 8 V
23 9 H
23 11 V
23 12 V
23 12 H
23 13 V
23 14 H
23 15 V
23 16 H
23 17 V
23 18 V
23 19 V
23 20 H
23 21 V
23 22 V
23 23 V
23 24 V
23 24 H
23 25 V
23 26 V
23 26 H
23 27 V
23 28 V
23 29 V
23 29 H
23 30 H
23 31 V
23 31 H
23 32 V
23 34 V
23 35 V
23 35 H
23 36 V
23 37 V
23 37 H
23 39 V
23 40 V
23 41 V
23 42 H
23 44 V
23 44 H
23 45 V
23 46 V
23 46 H
23 48 V
23 49 H
23 50 H
23 52 H
23 53 V
23 54 V
23 54 H
23 56 V
23 56 H
23 57 V
23 58 H
23 59 V
23 62 V
23 62 H
23 63 V
23 64 H
23 65 V
23 66 V
23 66 H
23 67 H
23 68 H
23 69 V
23 70 H
23 71 V
23 72 H
23 73 V
23 73 H
23 75 H
23 76 V
23 77 V
